river_id,point_index,x,y
0,0,17.86,426.44
0,1,19.89,421.62
0,2,19.26,411.85
0,3,22.81,404.11
0,4,19.26,397.01
0,5,15.45,392.44
0,6,12.28,390.41
0,7,6.32,389.14
1,0,1.24,196.42
1,1,17.61,191.98
1,2,25.35,187.16
1,3,27.89,182.72
1,4,29.28,176.89
1,5,28.77,161.53
1,6,27.63,154.30
2,0,7.59,161.03
2,1,27.63,154.30
2,2,32.45,151.64
2,3,70.01,145.80
2,4,96.52,139.71
2,5,127.48,137.81
2,6,139.79,139.84
3,0,123.55,138.06
3,1,127.48,137.81
3,2,151.08,141.74
3,3,167.32,150.24
3,4,191.42,168.51
3,5,207.79,183.48
3,6,220.35,193.12
3,7,234.05,208.22
3,8,243.06,225.73
3,9,244.46,238.16
3,10,243.82,257.58
3,11,244.96,278.26
3,12,242.17,290.94
3,13,235.96,298.56
3,14,233.42,300.59
3,15,209.06,315.05
3,16,186.60,334.08
3,17,182.92,339.41
3,18,180.89,344.99
3,19,177.21,365.04
3,20,177.21,375.69
3,21,180.64,384.70
3,22,210.07,422.64
3,23,228.60,449.79
4,0,515.20,449.79
4,1,522.30,446.61
4,2,527.63,445.09
4,3,533.72,445.60
4,4,547.30,449.03
4,5,549.07,449.79
5,0,667.32,13.73
5,1,666.18,27.05
5,2,670.11,42.02
5,3,675.06,50.52
5,4,717.05,65.49
5,5,719.72,67.78
5,6,725.05,76.91
5,7,728.98,87.95
5,8,732.15,93.66
5,9,737.35,94.67
5,10,743.57,94.55
5,11,752.70,91.25
5,12,762.35,90.87
5,13,770.72,94.55
5,14,777.44,103.55
5,15,781.25,127.53
5,16,792.92,142.00
5,17,805.36,154.68
5,18,810.18,157.85
5,19,838.34,167.75
5,20,841.77,171.43
5,21,843.80,175.11
5,22,844.69,188.43
5,23,839.86,202.77
5,24,838.09,216.22
5,25,833.90,228.01
5,26,824.13,245.78
5,27,816.01,257.20
5,28,810.43,263.54
5,29,783.79,280.41
5,30,781.12,284.98
5,31,778.59,298.56
5,32,780.87,311.50
5,33,781.12,322.41
5,34,786.71,330.91
5,35,791.27,332.05
5,36,806.75,344.23
5,37,809.67,348.92
5,38,809.92,353.62
5,39,809.03,359.45
5,40,805.23,369.60
5,41,801.42,375.06
5,42,785.56,389.27
5,43,782.52,397.26
5,44,783.91,405.25
5,45,788.10,416.29
5,46,798.12,425.30
5,47,802.18,432.02
5,48,805.10,439.89
5,49,805.36,444.58
5,50,803.96,449.79
6,0,1070.39,325.83
6,1,1058.21,325.71
6,2,1055.67,324.31
6,3,1048.19,324.94
6,4,1042.10,327.99
6,5,1039.43,331.03
6,6,1038.42,333.70
6,7,1039.43,342.33
6,8,1037.53,355.39
6,9,1041.59,366.56
6,10,1041.59,380.26
6,11,1035.50,396.50
6,12,1026.87,408.68
6,13,1012.66,412.61
6,14,1007.08,421.37
6,15,1012.28,449.79
7,0,999.85,449.79
7,1,995.41,445.22
7,2,991.86,443.06
7,3,988.18,442.55
7,4,985.13,443.95
7,5,978.03,449.79
8,0,217.56,433.55
8,1,242.81,470.72
8,2,254.48,480.87
8,3,270.72,486.20
8,4,313.09,493.56
8,5,337.20,494.06
8,6,392.90,492.29
8,7,425.88,481.89
8,8,446.18,476.81
8,9,462.29,470.34
8,10,472.44,468.56
8,11,492.49,463.36
8,12,513.42,450.55
8,13,522.30,446.61
8,14,527.63,445.09
8,15,533.72,445.60
8,16,547.30,449.03
8,17,556.94,453.21
8,18,576.61,465.01
8,19,584.22,471.99
8,20,593.61,483.15
8,21,610.35,500.92
8,22,623.80,521.09
8,23,625.45,527.56
8,24,624.69,533.27
8,25,622.28,536.95
8,26,572.29,577.80
8,27,564.68,580.84
8,28,550.47,582.24
8,29,540.19,586.43
8,30,529.03,593.02
8,31,519.64,600.00
8,32,483.10,607.23
8,33,470.29,607.49
8,34,452.53,603.17
8,35,443.90,602.29
8,36,436.29,604.70
8,37,427.66,608.88
8,38,423.60,614.21
8,39,421.70,621.57
8,40,416.49,654.30
8,41,409.52,677.27
8,42,409.26,688.81
8,43,410.66,712.41
8,44,416.49,718.75
8,45,449.10,738.67
8,46,476.38,746.54
8,47,524.59,736.01
8,48,551.10,742.10
8,49,569.12,753.64
8,50,575.46,767.22
8,51,581.30,785.36
8,52,575.34,812.13
8,53,544.89,838.65
8,54,527.00,847.66
8,55,515.71,862.75
8,56,437.05,890.54
8,57,418.90,898.40
8,58,402.03,910.71
8,59,394.54,921.50
8,60,392.77,928.85
8,61,394.42,945.09
8,62,392.77,953.21
8,63,389.72,961.21
8,64,382.62,969.45
9,0,659.45,511.57
9,1,649.18,515.63
9,2,638.01,518.04
9,3,625.45,527.56
10,0,802.69,433.55
10,1,805.10,439.89
10,2,805.36,444.58
10,3,801.55,458.29
10,4,798.00,467.42
10,5,789.37,477.19
10,6,777.06,484.80
10,7,769.58,492.67
10,8,756.76,498.51
10,9,753.97,509.67
10,10,744.71,512.84
10,11,733.80,511.83
10,12,727.84,498.38
10,13,724.67,497.11
10,14,718.58,491.27
10,15,712.23,492.42
10,16,709.06,494.19
10,17,668.21,508.02
10,18,649.18,515.63
10,19,643.21,516.90
11,0,1009.37,433.55
11,1,1013.43,458.92
11,2,1012.92,462.85
11,3,1011.52,464.38
11,4,1009.87,464.38
11,5,1006.95,461.71
11,6,999.60,449.28
11,7,995.41,445.22
11,8,991.86,443.06
11,9,988.18,442.55
11,10,985.13,443.95
11,11,976.76,450.80
11,12,975.24,453.47
11,13,974.22,456.51
11,14,975.49,468.18
11,15,974.73,471.48
11,16,972.83,472.50
11,17,964.45,471.74
11,18,961.41,472.24
11,19,956.71,476.81
11,20,956.08,478.97
11,21,958.11,488.23
12,0,1069.12,655.83
12,1,1060.37,651.26
12,2,1054.79,636.80
12,3,1051.11,631.85
12,4,1046.79,623.60
12,5,1041.72,621.57
12,6,1042.99,618.53
12,7,1047.55,613.32
12,8,1049.08,606.47
12,9,1044.64,593.02
12,10,1046.92,585.92
12,11,1043.11,582.62
12,12,1022.56,576.15
12,13,1020.66,569.30
12,14,1023.19,563.21
12,15,1022.56,557.25
12,16,1016.47,549.89
12,17,987.16,534.41
12,18,979.93,513.73
12,19,976.63,499.65
12,20,977.01,495.97
12,21,975.24,491.40
12,22,966.74,488.10
12,23,958.11,488.23
12,24,955.57,493.05
12,25,939.84,494.83
12,26,933.12,497.11
12,27,922.84,504.47
12,28,917.38,505.10
12,29,887.06,503.20
